# Mountain elevation from Marin Anderson
# Azimuth_deg Elevation_deg
272.43243243 6.15154668
272.79279279 6.11820081
273.15315315 6.11399276
273.51351351 6.08042378
273.87387387 6.03505985
274.23423423 6.06318919
274.59459459 6.09953195
274.95495495 6.05154534
275.31531532 5.96509907
275.67567568 5.93587739
276.03603604 5.93167014
276.39639640 6.13139472
276.75675676 6.28385215
277.11711712 6.35432711
277.47747748 6.36956329
277.83783784 6.40726291
278.19819820 6.35689066
278.55855856 6.26772446
278.91891892 6.06832151
279.27927928 5.85820347
279.63963964 5.65498845
280.00000000 5.49380550
280.36036036 5.29959935
280.72072072 5.11888058
281.08108108 4.98541658
281.44144144 4.87769840
281.80180180 4.76718212
282.16216216 4.67093756
282.52252252 4.59697386
282.88288288 4.58374257
283.24324324 4.46518958
283.60360360 4.38639809
283.96396396 4.24935908
284.32432432 4.16565224
284.68468468 4.07589555
285.04504505 4.03456979
285.40540541 4.02430176
285.76576577 4.04876139
286.12612613 4.07851559
286.48648649 4.28505074
286.84684685 4.29924050
287.20720721 4.21530623
287.56756757 4.13314575
287.92792793 3.97763854
288.28828829 3.81101909
288.64864865 3.72422496
289.00900901 3.69795735
289.36936937 3.57949907
289.72972973 3.48613493
290.09009009 3.44283790
290.45045045 3.36686620
290.81081081 3.32445130
291.17117117 3.36197742
291.53153153 3.35533289
291.89189189 3.37285027
292.25225225 3.41449831
292.61261261 3.47908986
292.97297297 3.38242016
293.33333333 3.39651355
293.69369369 3.42513974
294.05405405 3.35291867
294.41441441 3.37618456
294.77477477 3.28765401
295.13513514 3.26678682
295.49549550 3.41841724
295.85585586 3.36839357
296.21621622 3.35204875
296.57657658 3.24334413
296.93693694 3.22163559
297.29729730 3.26138510
297.65765766 3.18535485
298.01801802 3.01959954
298.37837838 2.88234114
298.73873874 2.94391143
299.09909910 3.00648999
299.45945946 3.01791377
299.81981982 2.96848227
300.18018018 2.93900291
300.54054054 2.99743640
300.90090090 2.92462218
301.26126126 2.90312876
301.62162162 2.87815867
301.98198198 2.81063330
302.34234234 2.85821818
302.70270270 2.86385822
303.06306306 2.82244321
303.42342342 2.71099620
303.78378378 2.68012053
304.14414414 2.64008391
304.50450450 2.74599958
304.86486486 2.61621651
305.22522523 2.57721292
305.58558559 2.63283272
305.94594595 2.65328131
306.30630631 2.69599086
306.66666667 2.69499633
307.02702703 2.65430445
307.38738739 2.54612811
307.74774775 2.40584490
308.10810811 2.27165064
308.46846847 2.06415862
308.82882883 1.90084587
309.18918919 1.72633187
309.54954955 1.47245047
309.90990991 1.45962156
310.27027027 1.44745022
310.63063063 1.43269163
310.99099099 1.37314418
311.35135135 1.32102309
311.71171171 1.18258833
312.07207207 1.16839276
312.43243243 1.13690337
312.79279279 1.12536374
313.15315315 1.11936770
313.51351351 1.12726126
313.87387387 1.14009770
314.23423423 1.16627315
314.59459459 1.18427955
314.95495495 1.16656088
315.31531532 1.16377980
315.67567568 1.16957994
316.03603604 1.17897516
316.39639640 1.18358718
316.75675676 1.19300773
317.11711712 1.19834252
317.47747748 1.20540740
317.83783784 1.21387015
318.19819820 1.21926534
318.55855856 1.22482771
318.91891892 1.23306311
319.27927928 1.27051626
319.63963964 1.28496286
320.00000000 1.28696192
320.36036036 1.32489675
320.72072072 1.37942720
321.08108108 1.40916763
321.44144144 1.39258510
321.80180180 1.37942482
322.16216216 1.34689733
322.52252252 1.33302334
322.88288288 1.28711011
323.24324324 1.35949633
323.60360360 1.44378800
323.96396396 1.55359349
324.32432432 1.68203044
324.68468468 1.71283719
325.04504505 1.68179017
325.40540541 1.58702005
325.76576577 1.53091519
326.12612613 1.58234082
326.48648649 1.57817637
326.84684685 1.53950988
327.20720721 1.52129484
327.56756757 1.45768335
327.92792793 1.40458533
328.28828829 1.36537187
328.64864865 1.33014385
329.00900901 1.34538766
329.36936937 1.32145179
329.72972973 1.30936340
330.09009009 1.29528435
330.45045045 1.30705115
330.81081081 1.25775641
331.17117117 1.28943921
331.53153153 1.24862818
331.89189189 1.18116197
332.25225225 1.19371826
332.61261261 1.20036394
332.97297297 1.18631729
333.33333333 1.16735763
333.69369369 1.12831002
334.05405405 1.07174639
334.41441441 1.07788751
334.77477477 1.03185113
335.13513514 0.99240745
335.49549550 0.91092236
335.85585586 0.87194868
336.21621622 0.83064164
336.57657658 0.80682322
336.93693694 0.79654232
337.29729730 0.85596414
337.65765766 0.89891359
338.01801802 0.83549642
338.37837838 0.77466110
338.73873874 0.73886908
339.09909910 0.72513321
339.45945946 0.76860390
339.81981982 0.81944153
340.18018018 0.83206080
340.54054054 0.85351683
340.90090090 0.88381049
341.26126126 0.90860705
341.62162162 0.81862688
341.98198198 0.77977137
342.34234234 0.77115748
342.70270270 0.78754598
343.06306306 0.80028640
343.42342342 0.81730799
343.78378378 0.81298335
344.14414414 0.81603431
344.50450450 0.79927378
344.86486486 0.78044305
345.22522523 0.77706266
345.58558559 0.77744283
345.94594595 0.76469912
346.30630631 0.75994481
346.66666667 0.74742469
347.02702703 0.74303424
347.38738739 0.72233096
347.74774775 0.81368604
348.10810811 0.95144497
348.46846847 1.10471547
348.82882883 1.29053619
349.18918919 1.42123537
349.54954955 1.55219304
349.90990991 1.68118556
350.27027027 1.82142016
350.63063063 1.95596726
350.99099099 2.00308952
351.35135135 1.97356009
351.71171171 2.03604480
352.07207207 2.18129127
352.43243243 2.30469013
352.79279279 2.39046039
353.15315315 2.52350234
353.51351351 2.62973904
353.87387387 2.71179476
354.23423423 2.75177161
354.59459459 2.74987212
354.95495495 2.75528290
355.31531532 2.73073820
355.67567568 2.65206345
356.03603604 2.67685826
356.39639640 2.66074655
356.75675676 2.68987226
357.11711712 2.71663609
357.47747748 2.77735540
357.83783784 2.77330524
358.19819820 2.84202790
358.55855856 2.95926057
358.91891892 3.00189319
359.27927928 2.98678279
359.63963964 3.14668203
360.00000000 3.24758334
