common_name,ra_current,dec_current,coords_sexagesimal,distance
BD J344.1240.04,344.11729,40.04166,22h56m28.15s +40d02m29.98s,9.823182711
Gaia DR3 1314438839310796800,251.2761146,33.51198657,16h45m06.27s +33d30m43.15s,9.846252103
BD J324.862.34,324.86154,2.33964,21h39m26.77s +02d20m22.70s,9.852216749
Gl 49,15.67332627,62.34570263,01h02m41.60s +62d20m44.53s,9.859619206
Gaia DR3 522864272041351296,15.84401888,62.36613132,01h03m22.56s +62d21m58.07s,9.864622013
BD J119.6732.79,119.66813,32.79,07h58m40.35s +32d47m24.00s,9.871668312
Gaia DR3 527956488340229632,8.155580451,67.23336234,00h32m37.34s +67d14m00.10s,9.892524909
Gaia DR3 4318384355378007424,294.0058299,15.59855045,19h36m01.40s +15d35m54.78s,9.892988629
Gaia DR3 4358031335898505472,249.0926702,-2.326820237,16h36m22.24s -02d19m36.55s,9.893947947
Gaia DR3 5699418131466175488,123.7975364,-23.73721518,08h15m11.41s -23d44m13.97s,9.896990625
GJ 3988,255.8509565,51.41075902,17h03m24.23s +51d24m38.73s,9.908115512
Gaia DR3 272855565763652480,69.42418405,52.89018311,04h37m41.80s +52d53m24.66s,9.909225555
Gaia DR3 3840711729206827520,142.6816628,0.318697171,09h30m43.60s +00d19m07.31s,9.91048332
Gaia DR3 3243715604392800512,57.68130249,-6.104799913,03h50m43.51s -06d06m17.28s,9.92754076
